time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1655935345        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935355        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935366        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935376        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935386        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935396        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935406        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935416        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935427        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935437        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935448        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935458        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935469        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935479        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935489        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935499        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935509        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935519        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935530        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935540        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935550        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935560        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935570        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935580        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935590        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935601        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935611        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935621        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935631        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935641        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935651        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935662        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935672        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935682        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935692        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935704        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935715        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935725        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935735        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935745        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935756        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935766        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935776        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935786        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935796        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935806        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935816        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935827        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935837        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935847        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935857        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935868        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935878        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935888        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935898        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935908        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935918        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935929        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935939        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935949        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935959        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935969        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935979        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935989        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936000        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936010        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936020        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655936030        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
