#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1655935344 207221698 182917882 3046548 0 4260532 4256107 3824 12304 91689.92 94716.84 3078.52 2030.12
1655935355 207221781 182917886 3046548 0 4262869 4258321 3835 12304 89740.32 94473.34 5029.04 2273.77
1655935365 207221926 182917886 3046548 0 4265556 4258849 3837 12304 89690.58 94389.65 5077.78 2359.16
1655935375 207222202 182917888 3046548 0 4267225 4261194 3837 12304 89614.11 94317.00 5155.25 2430.67
1655935385 207222664 182917888 3046548 0 4267592 4261409 3837 12304 89475.80 94249.19 5293.17 2497.88
1655935395 207223262 182917888 3046548 0 4267699 4261503 3837 12304 89524.50 94196.05 5244.95 2551.08
1655935405 207223475 182917892 3046548 0 4268601 4261897 3837 12304 89653.91 94365.65 5114.50 2380.82
1655935416 207223771 182917892 3046548 0 4268702 4261948 3837 12304 89647.36 94369.54 5122.64 2376.93
1655935426 207224106 182917892 3046548 0 4268902 4262156 3837 12304 89572.43 94293.59 5196.01 2452.48
1655935436 207224206 182917892 3046548 0 4268946 4262214 3837 12304 89572.29 94293.92 5196.57 2452.68
1655935446 207224307 182917892 3046548 0 4269026 4262292 3837 12304 89779.27 94521.44 4989.21 2224.53
1655935457 207224307 182917892 3046548 0 4269088 4262335 3837 12304 89789.87 94531.80 4979.49 2214.28
1655935467 207224307 182917892 3046548 0 4269123 4262386 3837 12304 89790.23 94532.05 4978.62 2214.00
1655935477 207224307 182917892 3046548 0 4269160 4262438 3837 12304 89789.93 94531.45 4978.92 2214.64
1655935487 207224307 182917892 3046548 0 4269199 4262487 3837 12304 89790.09 94533.88 4978.91 2212.59
1655935497 207224307 182917892 3046548 0 4269251 4262521 3837 12304 89789.20 94534.28 4979.29 2212.23
1655935508 207224307 182917892 3046548 0 4269304 4262557 3837 12304 89790.24 94533.57 4979.12 2213.05
1655935518 207224307 182917892 3046548 0 4269340 4262607 3837 12304 89789.93 94532.34 4979.51 2213.73
1655935528 207224307 182917892 3046548 0 4269379 4262657 3837 12304 89789.34 94531.98 4978.64 2214.48
1655935538 207224307 182917892 3046548 0 4269432 4262693 3837 12304 89789.60 94531.62 4979.30 2214.46
1655935548 207224307 182917892 3046548 0 4269468 4262745 3837 12304 89790.00 94532.36 4979.36 2213.76
1655935558 207224307 182917892 3046548 0 4269505 4262795 3837 12304 89790.58 94532.08 4977.88 2213.89
1655935568 207224307 182917892 3046548 0 4269556 4262830 3837 12304 89790.32 94532.93 4979.09 2214.65
1655935579 207224307 182917892 3046548 0 4269593 4262882 3837 12304 89790.27 94533.08 4978.60 2213.01
1655935589 207224307 182917892 3046548 0 4269629 4262933 3837 12304 89789.75 94534.00 4978.77 2212.47
1655935599 207224307 182917892 3046548 0 4269683 4262969 3837 12304 89791.72 94533.73 4977.68 2213.89
1655935609 207224307 182917892 3046548 0 4269721 4263017 3837 12304 89790.49 94533.29 4977.49 2212.69
1655935619 207224307 182917892 3046548 0 4269776 4263049 3837 12304 89789.46 94534.57 4979.49 2211.90
1655935629 207224307 182917892 3046548 0 4269830 4263084 3837 12304 89789.15 94533.68 4979.77 2212.29
1655935639 207224307 182917892 3046548 0 4269883 4263119 3837 12304 89789.38 94534.25 4979.97 2212.83
1655935650 207224307 182917892 3046548 0 4269921 4263168 3837 12304 89790.18 94534.01 4977.79 2211.96
1655935660 207224307 182917892 3046548 0 4269975 4263203 3837 12304 89789.58 94534.09 4979.87 2212.38
1655935670 207224307 182917892 3046548 0 4270028 4263238 3837 12304 89788.84 94533.70 4979.21 2212.27
1655935680 207224307 182917892 3046548 0 4270082 4263274 3837 12304 89789.91 94534.63 4979.44 2212.44
1655935690 207224307 182917892 3046548 0 4270121 4263324 3837 12304 89789.98 94534.93 4979.44 2211.54
1655935700 207224307 182917892 3046548 0 4270174 4263358 3837 12304 89789.44 94534.38 4979.53 2212.09
1655935710 207224307 182917892 3046548 0 4270226 4263395 3837 12304 89790.61 94535.27 4978.77 2211.79
1655935721 207224307 182917892 3046548 0 4270263 4263445 3837 12304 89789.71 94533.73 4979.75 2213.39
1655935731 207224307 182917892 3046548 0 4270302 4263494 3837 12304 89791.11 94534.48 4978.35 2211.98
1655935741 207224307 182917892 3046548 0 4270354 4263531 3837 12304 89789.68 94534.48 4979.20 2212.17
1655935751 207224307 182917892 3046548 0 4270391 4263581 3837 12304 89790.73 94533.96 4978.12 2213.10
1655935761 207224307 182917892 3046548 0 4270429 4263632 3837 12304 89790.73 94533.21 4978.73 2213.91
1655935771 207224307 182917892 3046548 0 4270465 4263682 3837 12304 89791.08 94532.85 4978.28 2214.25
1655935781 207224307 182917892 3046548 0 4270500 4263735 3837 12304 89790.97 94533.04 4978.44 2212.54
1655935792 207224307 182917892 3046548 0 4270538 4263786 3837 12304 89791.18 94533.61 4977.79 2213.39
1655935802 207224307 182917892 3046548 0 4270591 4263829 3837 12304 89790.71 94532.74 4978.14 2214.34
1655935812 207224307 182917892 3046548 0 4270629 4263877 3837 12304 89791.70 94533.61 4979.32 2213.43
1655935822 207224307 182917892 3046548 0 4270681 4263914 3837 12304 89790.82 94533.70 4978.14 2212.76
1655935832 207224307 182917892 3046548 0 4270737 4263948 3837 12304 89789.59 94533.84 4979.40 2212.63
1655935842 207224307 182917892 3046548 0 4270790 4263983 3837 12304 89789.39 94533.09 4979.57 2212.51
1655935852 207224307 182917892 3046548 0 4270827 4264033 3837 12304 89789.08 94534.06 4979.44 2212.89
1655935862 207224307 182917892 3046548 0 4270882 4264065 3837 12304 89789.26 94534.04 4978.73 2212.43
1655935873 207224307 182917892 3046548 0 4270937 4264100 3837 12304 89788.71 94534.02 4979.78 2212.49
1655935883 207224307 182917892 3046548 0 4270987 4264135 3837 12304 89789.60 94534.17 4979.78 2212.41
1655935893 207224307 182917892 3046548 0 4271027 4264185 3837 12304 89789.50 94533.63 4978.98 2212.91
1655935903 207224307 182917892 3046548 0 4271078 4264220 3837 12304 89789.97 94534.02 4978.89 2212.07
1655935913 207224307 182917892 3046548 0 4271116 4264269 3837 12304 89790.32 94534.18 4977.67 2212.80
1655935923 207224307 182917892 3046548 0 4271167 4264306 3837 12304 89789.54 94534.11 4979.42 2212.99
1655935933 207224307 182917892 3046548 0 4271203 4264358 3837 12304 89790.04 94533.31 4979.36 2213.80
1655935944 207224307 182917892 3046548 0 4271242 4264406 3837 12304 89790.37 94534.50 4979.14 2212.45
1655935954 207224307 182917892 3046548 0 4271296 4264441 3837 12304 89790.00 94534.96 4978.86 2212.66
1655935964 207224307 182917892 3046548 0 4271333 4264492 3837 12304 89790.30 94534.54 4979.04 2212.48
1655935974 207224307 182917892 3046548 0 4271372 4264539 3837 12304 89791.15 94535.40 4978.86 2211.59
1655935984 207224307 182917892 3046548 0 4271425 4264574 3837 12304 89790.32 94534.50 4978.56 2211.02
1655935994 207224307 182917892 3046548 0 4271463 4264623 3837 12304 89789.88 94534.50 4979.63 2211.97
1655936005 207224307 182917892 3046548 0 4271515 4264660 3837 12304 89790.41 94535.26 4978.98 2211.32
