#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1655935342 639692070 628005716 0 0 5505822 4766764 2685 368 92630.31 93607.89 2154.32 3123.51
1655935352 639692070 628005716 0 0 5505948 4766910 2685 368 92613.03 93566.14 2171.08 3165.18
1655935362 639692071 628005716 0 0 5506208 4768708 2685 368 92495.00 91752.12 2289.01 4978.77
1655935372 639692227 628005720 0 0 5509948 4768966 2685 368 92323.46 91667.46 2461.04 5063.52
1655935382 639692520 628005722 0 0 5511244 4771442 2685 368 92291.05 91614.95 2493.51 5116.43
1655935392 639692824 628005722 0 0 5511568 4772405 2685 368 92182.75 91434.06 2601.75 5297.36
1655935403 639693327 628005722 0 0 5511671 4772444 2685 368 92185.11 91450.38 2598.89 5279.53
1655935413 639693420 628005722 0 0 5512384 4772697 2685 368 92505.39 91729.52 2279.60 5001.44
1655935423 639693420 628005722 0 0 5512418 4772749 2685 368 92505.08 91728.87 2279.53 5002.07
1655935433 639693420 628005722 0 0 5512456 4772798 2685 368 92505.99 91728.90 2278.14 5001.93
1655935444 639693420 628005722 0 0 5512509 4772831 2685 368 92505.34 91729.26 2278.79 5001.61
1655935455 639693420 628005722 0 0 5512563 4772864 2685 368 92505.89 91731.00 2279.22 5000.35
1655935465 639693420 628005722 0 0 5512614 4772899 2685 368 92507.04 91730.70 2278.02 5000.27
1655935475 639693420 628005722 0 0 5512651 4772950 2685 368 92505.27 91730.52 2279.29 5000.92
1655935485 639693420 628005722 0 0 5512686 4773001 2685 368 92504.82 91729.05 2279.68 5000.95
1655935495 639693420 628005722 0 0 5512722 4773052 2685 368 92505.45 91728.79 2279.57 5002.16
1655935505 639693420 628005722 0 0 5512756 4773103 2685 368 92505.95 91728.38 2279.14 5002.56
1655935515 639693420 628005722 0 0 5512793 4773155 2685 368 92505.32 91728.28 2279.74 5003.20
1655935525 639693420 628005722 0 0 5512829 4773204 2685 368 92505.68 91728.39 2279.37 5003.59
1655935536 639693420 628005722 0 0 5512865 4773254 2685 368 92505.79 91728.45 2278.25 5003.02
1655935546 639693420 628005722 0 0 5512900 4773305 2685 368 92506.45 91726.38 2277.55 5004.52
1655935556 639693420 628005722 0 0 5512936 4773358 2685 368 92506.40 91727.39 2278.09 5003.09
1655935566 639693420 628005722 0 0 5512972 4773407 2685 368 92506.35 91727.10 2277.30 5003.29
1655935576 639693420 628005722 0 0 5513025 4773442 2685 368 92505.75 91728.25 2278.87 5002.08
