#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1655935342        0.109547          0.109547          0.003010          0.003010          0.000000          181.875000        0.003010         
1655935352        1.685620          1.685620          0.047726          0.047726          0.000000          181.818000        0.047726         
1655935362        2.918840          2.918840          0.101620          0.101620          0.000000          179.931000        0.101620         
1655935372        5.347100          5.347100          0.299450          0.299450          0.000000          179.680000        0.299450         
1655935382        5.387110          5.387110          0.339962          0.339962          0.000000          179.597000        0.339962         
1655935392        5.657780          5.657780          0.592026          0.592026          0.000000          179.315000        0.592026         
1655935403        5.657780          5.648860          0.592026          0.574203          0.000000          179.332000        0.592026         
1655935413        5.657780          0.109547          0.592026          0.003063          0.000000          179.917000        0.592026         
1655935423        5.657780          0.109547          0.592026          0.003063          0.000000          179.916000        0.592026         
1655935433        5.657780          0.109547          0.592026          0.003063          0.000000          179.918000        0.592026         
1655935443        5.657780          0.109547          0.592026          0.003063          0.000000          179.919000        0.592026         
1655935454        5.657780          0.109547          0.592026          0.003063          0.000000          179.920000        0.592026         
1655935465        5.657780          0.109547          0.592026          0.003063          0.000000          179.922000        0.592026         
1655935475        5.657780          0.109547          0.592026          0.003063          0.000000          179.920000        0.592026         
1655935485        5.657780          0.109547          0.592026          0.003063          0.000000          179.917000        0.592026         
1655935495        5.657780          0.109547          0.592026          0.003063          0.000000          179.917000        0.592026         
1655935505        5.657780          0.109547          0.592026          0.003063          0.000000          179.916000        0.592026         
1655935515        5.657780          0.109547          0.592026          0.003063          0.000000          179.917000        0.592026         
1655935525        5.657780          0.109547          0.592026          0.003067          0.000000          179.917000        0.592026         
1655935536        5.657780          0.109547          0.592026          0.003067          0.000000          179.916000        0.592026         
1655935546        5.657780          0.109547          0.592026          0.003067          0.000000          179.917000        0.592026         
1655935556        5.657780          0.109547          0.592026          0.003067          0.000000          179.917000        0.592026         
1655935566        5.657780          0.109547          0.592026          0.003067          0.000000          179.917000        0.592026         
1655935576        5.657780          0.109547          0.592026          0.003067          0.000000          179.918000        0.592026         
1655935586        5.657780          0.109547          0.592026          0.003067          0.000000          179.917000        0.592026         
1655935596        5.657780          0.109547          0.592026          0.003067          0.000000          179.916000        0.592026         
1655935607        5.657780          0.109547          0.592026          0.003067          0.000000          179.916000        0.592026         
1655935617        5.657780          0.109547          0.592026          0.003067          0.000000          179.915000        0.592026         
1655935627        5.657780          0.109547          0.592026          0.003067          0.000000          179.921000        0.592026         
1655935637        5.657780          0.109547          0.592026          0.003067          0.000000          179.922000        0.592026         
1655935647        5.657780          0.109547          0.592026          0.003067          0.000000          179.921000        0.592026         
1655935657        5.657780          0.109547          0.592026          0.003067          0.000000          179.921000        0.592026         
1655935667        5.657780          0.109547          0.592026          0.003067          0.000000          179.922000        0.592026         
1655935677        5.657780          0.109547          0.592026          0.003067          0.000000          179.921000        0.592026         
1655935688        5.657780          0.109547          0.592026          0.003067          0.000000          179.918000        0.592026         
1655935698        5.657780          0.109547          0.592026          0.003067          0.000000          179.920000        0.592026         
1655935708        5.657780          0.109547          0.592026          0.003067          0.000000          179.918000        0.592026         
1655935731        5.657780          0.109547          0.592026          0.003067          0.000000          179.920000        0.592026         
1655935741        5.657780          0.109547          0.592026          0.003067          0.000000          179.921000        0.592026         
1655935751        5.657780          0.109547          0.592026          0.003071          0.000000          179.923000        0.592026         
1655935762        5.657780          0.109547          0.592026          0.003071          0.000000          179.922000        0.592026         
1655935772        5.657780          0.109547          0.592026          0.003071          0.000000          179.922000        0.592026         
1655935782        5.657780          0.109547          0.592026          0.003071          0.000000          179.923000        0.592026         
1655935792        5.657780          0.109547          0.592026          0.003071          0.000000          179.920000        0.592026         
1655935803        5.657780          0.109547          0.592026          0.003071          0.000000          179.922000        0.592026         
1655935813        5.657780          0.109547          0.592026          0.003071          0.000000          179.920000        0.592026         
1655935823        5.657780          0.109547          0.592026          0.003071          0.000000          179.922000        0.592026         
1655935833        5.657780          0.109547          0.592026          0.003071          0.000000          179.922000        0.592026         
1655935843        5.657780          0.109547          0.592026          0.003071          0.000000          179.922000        0.592026         
1655935854        5.657780          0.109547          0.592026          0.003071          0.000000          179.922000        0.592026         
1655935864        5.657780          0.109547          0.592026          0.003071          0.000000          179.923000        0.592026         
1655935874        5.657780          0.109547          0.592026          0.003071          0.000000          179.922000        0.592026         
1655935884        5.657780          0.109547          0.592026          0.003071          0.000000          179.923000        0.592026         
1655935894        5.657780          0.109547          0.592026          0.003071          0.000000          179.920000        0.592026         
1655935904        5.657780          0.109547          0.592026          0.003071          0.000000          179.923000        0.592026         
1655935914        5.657780          0.109547          0.592026          0.003071          0.000000          179.923000        0.592026         
1655935925        5.657780          0.109547          0.592026          0.003071          0.000000          179.922000        0.592026         
1655935935        5.657780          0.109547          0.592026          0.003071          0.000000          179.923000        0.592026         
1655935945        5.657780          0.109547          0.592026          0.003071          0.000000          179.920000        0.592026         
1655935955        5.657780          0.109547          0.592026          0.003071          0.000000          179.921000        0.592026         
1655935965        5.657780          0.109547          0.592026          0.003071          0.000000          179.920000        0.592026         
1655935975        5.657780          0.109547          0.592026          0.003071          0.000000          179.921000        0.592026         
1655935985        5.657780          0.109547          0.592026          0.003071          0.000000          179.921000        0.592026         
1655935995        5.657780          0.109547          0.592026          0.003071          0.000000          179.922000        0.592026         
1655936006        5.657780          0.109547          0.592026          0.003071          0.000000          179.922000        0.592026         
1655936016        5.657780          0.109547          0.592026          0.003071          0.000000          179.921000        0.592026         
1655936026        5.657780          0.109547          0.592026          0.003071          0.000000          179.922000        0.592026         
1655936036        5.657780          0.109547          0.592026          0.003075          0.000000          179.923000        0.592026         
1655936046        5.657780          0.109547          0.592026          0.003075          0.000000          179.924000        0.592026         
1655936056        5.657780          0.109547          0.592026          0.003075          0.000000          179.925000        0.592026         
1655936066        5.657780          0.109547          0.592026          0.003075          0.000000          179.923000        0.592026         
1655936077        5.657780          0.109547          0.592026          0.003075          0.000000          179.922000        0.592026         
1655936087        5.657780          0.109547          0.592026          0.003075          0.000000          179.923000        0.592026         
1655936097        5.657780          0.109547          0.592026          0.003075          0.000000          179.925000        0.592026         
1655936107        5.657780          0.109547          0.592026          0.003075          0.000000          179.923000        0.592026         
1655936117        5.657780          0.109547          0.592026          0.003075          0.000000          179.921000        0.592026         
1655936127        5.657780          0.109547          0.592026          0.003075          0.000000          179.923000        0.592026         
1655936137        5.657780          0.109547          0.592026          0.003075          0.000000          179.922000        0.592026         
1655936147        5.657780          0.109547          0.592026          0.003075          0.000000          179.923000        0.592026         
1655936158        5.657780          0.109547          0.592026          0.003075          0.000000          179.922000        0.592026         
1655936168        5.657780          0.109547          0.592026          0.003075          0.000000          179.922000        0.592026         
1655936178        5.657780          0.109547          0.592026          0.003075          0.000000          179.922000        0.592026         
1655936188        5.657780          0.109547          0.592026          0.003075          0.000000          179.924000        0.592026         
1655936198        5.657780          0.109547          0.592026          0.003075          0.000000          179.925000        0.592026         
1655936208        5.657780          0.109547          0.592026          0.003075          0.000000          179.923000        0.592026         
1655936218        5.657780          0.109547          0.592026          0.003075          0.000000          179.924000        0.592026         
1655936229        5.657780          0.109547          0.592026          0.003075          0.000000          179.921000        0.592026         
1655936239        5.657780          0.109547          0.592026          0.003075          0.000000          179.921000        0.592026         
1655936249        5.657780          0.109547          0.592026          0.003075          0.000000          179.922000        0.592026         
1655936259        5.657780          0.109547          0.592026          0.003075          0.000000          179.937000        0.592026         
1655936269        5.657780          0.109547          0.592026          0.003078          0.000000          179.937000        0.592026         
1655936279        5.657780          0.109547          0.592026          0.003078          0.000000          179.941000        0.592026         
1655936289        5.657780          0.109547          0.592026          0.003078          0.000000          179.942000        0.592026         
1655936300        5.657780          0.109547          0.592026          0.003078          0.000000          179.943000        0.592026         
1655936310        5.657780          0.109547          0.592026          0.003078          0.000000          181.690000        0.592026         
1655936323        5.657780          0.109547          0.592026          0.003078          0.000000          181.690000        0.592026         
1655936333        5.657780          0.109547          0.592026          0.003078          0.000000          181.689000        0.592026         
1655936343        5.657780          0.109547          0.592026          0.003078          0.000000          181.689000        0.592026         
1655936353        5.657780          0.109547          0.592026          0.003078          0.000000          181.692000        0.592026         
1655936364        5.657780          0.109547          0.592026          0.003078          0.000000          181.690000        0.592026         
1655936374        5.657780          0.109547          0.592026          0.003078          0.000000          181.688000        0.592026         
1655936384        5.657780          0.109547          0.592026          0.003078          0.000000          181.689000        0.592026         
1655936394        5.657780          0.109547          0.592026          0.003078          0.000000          181.691000        0.592026         
1655936404        5.657780          0.109547          0.592026          0.003078          0.000000          181.691000        0.592026         
1655936414        5.657780          0.109547          0.592026          0.003078          0.000000          181.692000        0.592026         
1655936424        5.657780          0.109547          0.592026          0.003078          0.000000          181.691000        0.592026         
1655936435        5.657780          0.109547          0.592026          0.003078          0.000000          181.691000        0.592026         
1655936445        5.657780          0.109547          0.592026          0.003078          0.000000          181.692000        0.592026         
1655936455        5.657780          0.109547          0.592026          0.003078          0.000000          181.691000        0.592026         
1655936465        5.657780          0.109547          0.592026          0.003078          0.000000          181.690000        0.592026         
1655936475        5.657780          0.109547          0.592026          0.003078          0.000000          181.691000        0.592026         
1655936485        5.657780          0.109547          0.592026          0.003078          0.000000          181.692000        0.592026         
1655936496        5.657780          0.109547          0.592026          0.003078          0.000000          181.691000        0.592026         
1655936506        5.657780          0.109547          0.592026          0.003078          0.000000          181.692000        0.592026         
1655936516        5.657780          0.109547          0.592026          0.003078          0.000000          181.693000        0.592026         
1655936526        5.657780          0.109547          0.592026          0.003078          0.000000          181.691000        0.592026         
1655936536        5.657780          0.109547          0.592026          0.003078          0.000000          181.693000        0.592026         
1655936546        5.657780          0.109547          0.592026          0.003078          0.000000          181.692000        0.592026         
1655936556        5.657780          0.109547          0.592026          0.003082          0.000000          181.692000        0.592026         
1655936567        5.657780          0.109547          0.592026          0.003082          0.000000          181.693000        0.592026         
1655936577        5.657780          0.109547          0.592026          0.003082          0.000000          181.692000        0.592026         
1655936587        5.657780          0.109547          0.592026          0.003082          0.000000          181.692000        0.592026         
1655936597        5.657780          0.109547          0.592026          0.003082          0.000000          181.692000        0.592026         
1655936607        5.657780          0.109547          0.592026          0.003082          0.000000          181.693000        0.592026         
1655936617        5.657780          0.109547          0.592026          0.003082          0.000000          181.691000        0.592026         
1655936627        5.657780          0.109547          0.592026          0.003082          0.000000          181.692000        0.592026         
1655936637        5.657780          0.109547          0.592026          0.003082          0.000000          181.691000        0.592026         
1655936648        5.657780          0.109547          0.592026          0.003082          0.000000          181.691000        0.592026         
1655936658        5.657780          0.109547          0.592026          0.003082          0.000000          181.694000        0.592026         
1655936668        5.657780          0.109547          0.592026          0.003082          0.000000          181.693000        0.592026         
1655936678        5.657780          0.109547          0.592026          0.003082          0.000000          181.693000        0.592026         
1655936688        5.657780          0.109547          0.592026          0.003082          0.000000          181.692000        0.592026         
1655936698        5.657780          0.109547          0.592026          0.003082          0.000000          181.693000        0.592026         
1655936709        5.657780          0.109547          0.592026          0.003082          0.000000          181.695000        0.592026         
1655936719        5.657780          0.109547          0.592026          0.003082          0.000000          181.693000        0.592026         
1655936729        5.657780          0.109547          0.592026          0.003082          0.000000          181.692000        0.592026         
1655936739        5.657780          0.109547          0.592026          0.003082          0.000000          181.692000        0.592026         
1655936749        5.657780          0.109547          0.592026          0.003082          0.000000          181.691000        0.592026         
1655936759        5.657780          0.109547          0.592026          0.003082          0.000000          181.692000        0.592026         
1655936769        5.657780          0.109547          0.592026          0.003082          0.000000          181.693000        0.592026         
1655936780        5.657780          0.109547          0.592026          0.003082          0.000000          181.693000        0.592026         
1655936790        5.657780          0.109547          0.592026          0.003086          0.000000          181.692000        0.592026         
1655936800        5.657780          0.109547          0.592026          0.003086          0.000000          181.691000        0.592026         
1655936810        5.657780          0.109547          0.592026          0.003086          0.000000          181.694000        0.592026         
1655936820        5.657780          0.109547          0.592026          0.003086          0.000000          181.693000        0.592026         
1655936830        5.657780          0.109547          0.592026          0.003086          0.000000          181.694000        0.592026         
1655936841        5.657780          0.109547          0.592026          0.003086          0.000000          181.692000        0.592026         
1655936851        5.657780          0.109547          0.592026          0.003086          0.000000          181.692000        0.592026         
1655936861        5.657780          0.109547          0.592026          0.003086          0.000000          181.691000        0.592026         
1655936871        5.657780          0.109547          0.592026          0.003086          0.000000          181.689000        0.592026         
1655936881        5.657780          0.109547          0.592026          0.003086          0.000000          181.691000        0.592026         
1655936891        5.657780          0.109547          0.592026          0.003086          0.000000          181.691000        0.592026         
1655936902        5.657780          0.109547          0.592026          0.003086          0.000000          181.691000        0.592026         
1655936912        5.657780          0.109547          0.592026          0.003086          0.000000          181.691000        0.592026         
1655936922        5.657780          0.109547          0.592026          0.003086          0.000000          181.691000        0.592026         
1655936932        5.657780          0.109547          0.592026          0.003086          0.000000          181.691000        0.592026         
1655936942        5.657780          0.109547          0.592026          0.003086          0.000000          181.693000        0.592026         
1655936952        5.657780          0.109547          0.592026          0.003086          0.000000          181.693000        0.592026         
1655936963        5.657780          0.109547          0.592026          0.003086          0.000000          181.690000        0.592026         
1655936973        5.657780          0.109547          0.592026          0.003086          0.000000          181.691000        0.592026         
1655936983        5.657780          0.109547          0.592026          0.003086          0.000000          181.690000        0.592026         
1655936993        5.657780          0.109547          0.592026          0.003086          0.000000          181.691000        0.592026         
1655937003        5.657780          0.109547          0.592026          0.003086          0.000000          181.691000        0.592026         
1655937013        5.657780          0.109547          0.592026          0.003086          0.000000          181.691000        0.592026         
1655937023        5.657780          0.109547          0.592026          0.003086          0.000000          181.690000        0.592026         
1655937034        5.657780          0.109547          0.592026          0.003086          0.000000          181.692000        0.592026         
1655937044        5.657780          0.109547          0.592026          0.003086          0.000000          181.693000        0.592026         
1655937055        5.657780          0.109547          0.592026          0.003090          0.000000          181.692000        0.592026         
1655937065        5.657780          0.109547          0.592026          0.003090          0.000000          181.691000        0.592026         
