time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1655935342        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935352        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935362        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935372        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935382        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935392        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935403        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935413        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935423        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935433        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935443        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935453        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935463        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935474        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935484        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935494        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935504        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935514        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935524        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935535        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935545        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935555        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935565        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935575        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935585        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935595        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935606        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935616        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935626        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935636        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935646        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935657        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935667        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935677        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935687        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935697        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935707        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935717        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935728        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935738        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935748        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935758        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935768        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935779        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935789        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935800        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935810        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935820        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935830        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935840        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935850        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935861        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935871        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935881        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935891        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935901        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
