#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1655935344        0.109547          0.109547          0.003010          0.003010          0.000000          181.439000        0.003010         
1655935354        1.685620          1.685620          0.047730          0.047730          0.000000          181.383000        0.047730         
1655935364        4.192510          4.192510          0.197578          0.197578          0.000000          179.374000        0.197578         
1655935374        5.448510          5.448510          0.338730          0.338730          0.000000          179.228000        0.338730         
1655935385        5.589940          5.589940          0.479694          0.479694          0.000000          179.067000        0.479694         
1655935395        5.711850          5.711850          0.574520          0.574520          0.000000          178.952000        0.574520         
1655935405        5.711850          5.711850          0.578091          0.578091          0.000000          178.945000        0.578091         
1655935415        5.711850          0.109547          0.578091          0.003071          0.000000          179.545000        0.578091         
1655935426        5.711850          0.109547          0.578091          0.003071          0.000000          179.544000        0.578091         
1655935436        5.711850          0.109547          0.578091          0.003071          0.000000          179.545000        0.578091         
1655935446        5.711850          0.109547          0.578091          0.003071          0.000000          179.547000        0.578091         
1655935456        5.711850          0.109547          0.578091          0.003071          0.000000          179.544000        0.578091         
1655935467        5.711850          0.109547          0.578091          0.003071          0.000000          179.544000        0.578091         
1655935477        5.711850          0.109547          0.578091          0.003071          0.000000          179.545000        0.578091         
1655935487        5.711850          0.109547          0.578091          0.003071          0.000000          179.545000        0.578091         
1655935497        5.711850          0.109547          0.578091          0.003071          0.000000          179.547000        0.578091         
1655935507        5.711850          0.109547          0.578091          0.003071          0.000000          179.546000        0.578091         
1655935518        5.711850          0.109547          0.578091          0.003071          0.000000          179.547000        0.578091         
1655935528        5.711850          0.109547          0.578091          0.003071          0.000000          179.548000        0.578091         
1655935538        5.711850          0.109547          0.578091          0.003071          0.000000          179.546000        0.578091         
1655935548        5.711850          0.109547          0.578091          0.003071          0.000000          179.545000        0.578091         
1655935558        5.711850          0.109547          0.578091          0.003071          0.000000          179.547000        0.578091         
1655935568        5.711850          0.109547          0.578091          0.003071          0.000000          179.548000        0.578091         
1655935578        5.711850          0.109547          0.578091          0.003071          0.000000          179.546000        0.578091         
1655935589        5.711850          0.109547          0.578091          0.003071          0.000000          179.546000        0.578091         
1655935599        5.711850          0.109547          0.578091          0.003071          0.000000          179.545000        0.578091         
1655935609        5.711850          0.109547          0.578091          0.003071          0.000000          179.546000        0.578091         
1655935619        5.711850          0.109547          0.578091          0.003071          0.000000          179.549000        0.578091         
1655935629        5.711850          0.109547          0.578091          0.003071          0.000000          179.550000        0.578091         
1655935639        5.711850          0.109547          0.578091          0.003071          0.000000          179.550000        0.578091         
1655935649        5.711850          0.109547          0.578091          0.003071          0.000000          179.551000        0.578091         
1655935660        5.711850          0.109547          0.578091          0.003071          0.000000          179.549000        0.578091         
1655935670        5.711850          0.109547          0.578091          0.003071          0.000000          179.550000        0.578091         
1655935680        5.711850          0.109547          0.578091          0.003071          0.000000          179.549000        0.578091         
1655935690        5.711850          0.109547          0.578091          0.003071          0.000000          179.551000        0.578091         
1655935700        5.711850          0.109547          0.578091          0.003071          0.000000          179.552000        0.578091         
1655935710        5.711850          0.109547          0.578091          0.003075          0.000000          179.552000        0.578091         
1655935720        5.711850          0.109547          0.578091          0.003075          0.000000          179.552000        0.578091         
1655935730        5.711850          0.109547          0.578091          0.003075          0.000000          179.551000        0.578091         
1655935741        5.711850          0.109547          0.578091          0.003075          0.000000          179.549000        0.578091         
1655935751        5.711850          0.109547          0.578091          0.003075          0.000000          179.551000        0.578091         
1655935761        5.711850          0.109547          0.578091          0.003075          0.000000          179.550000        0.578091         
1655935771        5.711850          0.109547          0.578091          0.003075          0.000000          179.551000        0.578091         
1655935782        5.711850          0.109547          0.578091          0.003075          0.000000          179.551000        0.578091         
1655935792        5.711850          0.109547          0.578091          0.003075          0.000000          179.550000        0.578091         
1655935802        5.711850          0.109547          0.578091          0.003075          0.000000          179.551000        0.578091         
1655935812        5.711850          0.109547          0.578091          0.003075          0.000000          179.552000        0.578091         
1655935822        5.711850          0.109547          0.578091          0.003075          0.000000          179.552000        0.578091         
1655935832        5.711850          0.109547          0.578091          0.003075          0.000000          179.552000        0.578091         
1655935842        5.711850          0.109547          0.578091          0.003075          0.000000          179.553000        0.578091         
1655935853        5.711850          0.109547          0.578091          0.003075          0.000000          179.552000        0.578091         
1655935863        5.711850          0.109547          0.578091          0.003075          0.000000          179.554000        0.578091         
1655935873        5.711850          0.109547          0.578091          0.003075          0.000000          179.553000        0.578091         
1655935883        5.711850          0.109547          0.578091          0.003075          0.000000          179.553000        0.578091         
1655935893        5.711850          0.109547          0.578091          0.003075          0.000000          179.552000        0.578091         
1655935903        5.711850          0.109547          0.578091          0.003075          0.000000          179.553000        0.578091         
1655935913        5.711850          0.109547          0.578091          0.003075          0.000000          179.553000        0.578091         
1655935924        5.711850          0.109547          0.578091          0.003075          0.000000          179.551000        0.578091         
1655935934        5.711850          0.109547          0.578091          0.003075          0.000000          179.551000        0.578091         
1655935944        5.711850          0.109547          0.578091          0.003078          0.000000          179.551000        0.578091         
1655935954        5.711850          0.109547          0.578091          0.003078          0.000000          179.553000        0.578091         
1655935964        5.711850          0.109547          0.578091          0.003078          0.000000          179.554000        0.578091         
1655935974        5.711850          0.109547          0.578091          0.003078          0.000000          179.553000        0.578091         
1655935984        5.711850          0.109547          0.578091          0.003078          0.000000          179.553000        0.578091         
1655935995        5.711850          0.109547          0.578091          0.003078          0.000000          179.554000        0.578091         
1655936005        5.711850          0.109547          0.578091          0.003078          0.000000          179.552000        0.578091         
1655936015        5.711850          0.109547          0.578091          0.003078          0.000000          179.553000        0.578091         
1655936025        5.711850          0.109547          0.578091          0.003078          0.000000          179.553000        0.578091         
1655936035        5.711850          0.109547          0.578091          0.003078          0.000000          179.552000        0.578091         
1655936045        5.711850          0.109547          0.578091          0.003078          0.000000          179.553000        0.578091         
1655936055        5.711850          0.109547          0.578091          0.003078          0.000000          179.553000        0.578091         
