#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1655935342 469570299 439239484 0 0 6028282 5640682 5067 463 92502.26 93904.20 2282.39 2827.19
1655935352 469570299 439239484 0 0 6028412 5640828 5067 463 92490.50 93859.70 2294.04 2871.26
1655935362 469570470 439239494 0 0 6030238 5643368 5067 463 92179.61 91996.50 2605.49 4733.93
1655935372 469570910 439239502 0 0 6032789 5644829 5067 463 92165.78 91924.35 2618.82 4806.55
1655935382 469571258 439239504 0 0 6033756 5646590 5067 463 92034.75 91764.79 2750.82 4966.04
1655935392 469571874 439239506 0 0 6033899 5646613 5067 463 91979.87 91818.04 2805.20 4912.29
1655935402 469572273 439239508 0 0 6034916 5646904 5067 463 92250.70 91993.63 2534.86 4737.19
1655935413 469572418 439239518 0 0 6034990 5646998 5067 463 92279.59 91943.71 2505.00 4787.11
1655935423 469572597 439239522 0 0 6035061 5647183 5067 463 92276.47 91847.89 2508.64 4884.15
1655935433 469572734 439239524 0 0 6035179 5647260 5067 463 92239.29 91874.58 2544.71 4856.32
1655935447 469572795 439239530 0 0 6035244 5647411 5067 463 92221.23 91811.46 2563.82 4918.87
1655935457 469572912 439239534 0 0 6035315 5647454 5067 463 92222.48 91808.21 2563.12 4922.61
1655935468 469572973 439239540 0 0 6035391 5647700 5067 463 92222.04 91648.45 2563.50 5082.37
1655935478 469573089 439239544 0 0 6035468 5647744 5067 463 92221.79 91651.70 2563.24 5079.23
1655935488 469573209 439239546 0 0 6035554 5647945 5067 463 92206.27 91602.66 2578.23 5129.29
1655935498 469573209 439239546 0 0 6035697 5648239 5067 463 92107.79 91451.76 2676.21 5280.73
1655935509 469573338 439239548 0 0 6035811 5648301 5067 463 92057.55 91511.23 2725.59 5218.51
1655935519 469573338 439239548 0 0 6036096 5648849 5067 463 91907.46 91249.20 2878.13 5481.13
1655935529 469573518 439239554 0 0 6036172 5649431 5067 463 91908.58 90698.76 2876.53 6032.07
1655935539 469573621 439239556 0 0 6036387 5649476 5067 463 91914.47 91067.24 2870.12 5663.59
1655935549 469573743 439239566 0 0 6036463 5649596 5067 463 91915.73 91006.05 2867.29 5724.77
1655935559 469573798 439239570 0 0 6036539 5649744 5067 463 91916.54 90936.43 2869.59 5794.39
1655935570 469573920 439239578 0 0 6036614 5649889 5067 463 91917.38 90850.19 2868.30 5880.14
1655935580 469573975 439239580 0 0 6036692 5650027 5067 463 91919.33 90792.03 2866.38 5938.30
1655935590 469574096 439239582 0 0 6036770 5650108 5067 463 91919.24 90789.30 2866.35 5941.52
1655935600 469574294 439239596 0 0 6036850 5650236 5067 463 91918.13 90704.02 2866.59 6026.81
1655935610 469574294 439239596 0 0 6036963 5650274 5067 463 91875.29 91071.67 2908.71 5658.28
1655935620 469574294 439239596 0 0 6037093 5650322 5067 463 91871.75 91073.79 2913.33 5657.08
1655935630 469574294 439239596 0 0 6037226 5650397 5067 463 91869.82 91072.60 2915.29 5658.29
1655935641 469576046 439239714 0 0 6038042 5651104 5067 463 91407.44 90636.70 3377.09 6095.78
1655935651 469577231 439239756 0 0 6039074 5652144 5067 463 90841.14 90085.56 3943.45 6645.43
1655935661 469578955 439239778 0 0 6039356 5652424 5067 463 90727.38 89965.68 4057.77 6764.65
1655935671 469578955 439239778 0 0 6039424 5652467 5068 463 90727.74 89967.82 4056.39 6763.00
