#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1655935345 568242580 463781808 567957 91398 9927960 7779546 10841 2612 92430.76 93878.99 2353.74 2851.95
1655935355 568242580 463781808 567957 91398 9928928 7781878 10852 2612 91617.09 92655.09 3168.44 4074.75
1655935366 568242865 463781814 567957 91398 9931685 7782346 10852 2613 91432.72 92553.18 3352.92 4178.15
1655935376 568243173 463781814 567957 91398 9934065 7784236 10852 2613 91425.74 92501.63 3358.61 4229.25
1655935386 568243771 463781814 567957 91398 9935279 7784655 10852 2613 91258.07 92394.00 3527.03 4337.33
1655935396 568244027 463781814 567957 91398 9935303 7784759 10852 2613 91268.89 92384.05 3515.11 4346.80
1655935406 568244221 463781814 567957 91398 9936112 7784916 10852 2613 91623.91 92626.79 3160.59 4103.17
1655935416 568244221 463781814 567957 91398 9936148 7784967 10852 2613 91624.73 92629.23 3159.39 4101.66
1655935426 568244221 463781814 567957 91398 9936199 7785001 10852 2613 91625.62 92628.62 3159.36 4101.32
1655935437 568244221 463781814 567957 91398 9936238 7785051 10852 2613 91625.59 92630.11 3159.00 4100.71
1655935448 568244221 463781814 567957 91398 9936289 7785087 10852 2613 91625.77 92630.00 3158.73 4101.46
1655935458 568244221 463781814 567957 91398 9936326 7785138 10852 2613 91626.55 92629.75 3158.55 4101.24
1655935469 568244221 463781814 567957 91398 9936364 7785187 10852 2613 91625.90 92629.86 3158.70 4100.96
1655935479 568244221 463781814 567957 91398 9936415 7785222 10852 2613 91625.42 92630.05 3159.11 4100.87
1655935489 568244221 463781814 567957 91398 9936452 7785274 10852 2613 91625.32 92630.39 3158.68 4101.51
1655935499 568244221 463781814 567957 91398 9936488 7785325 10852 2613 91626.50 92628.95 3158.49 4102.03
1655935509 568244221 463781814 567957 91398 9936525 7785375 10852 2613 91625.51 92628.25 3158.10 4101.10
1655935519 568244221 463781814 567957 91398 9936572 7785416 10852 2613 91626.47 92628.55 3158.59 4101.38
1655935530 568244221 463781814 567957 91398 9936607 7785469 10852 2613 91626.08 92628.63 3158.97 4102.81
1655935540 568244221 463781814 567957 91398 9936646 7785518 10852 2613 91626.45 92629.75 3158.17 4101.08
1655935550 568244221 463781814 567957 91398 9936700 7785552 10852 2613 91625.09 92630.07 3158.55 4100.76
1655935560 568244221 463781814 567957 91398 9936751 7785587 10852 2613 91626.28 92630.16 3158.22 4101.31
1655935570 568244221 463781814 567957 91398 9936787 7785638 10852 2613 91626.34 92630.46 3158.64 4099.97
1655935580 568244221 463781814 567957 91398 9936823 7785690 10852 2613 91626.06 92628.35 3158.43 4101.61
1655935590 568244221 463781814 567957 91398 9936862 7785738 10852 2613 91626.31 92629.47 3158.28 4101.35
1655935601 568244221 463781814 567957 91398 9936914 7785775 10852 2613 91626.16 92629.28 3158.34 4101.17
1655935611 568244221 463781814 567957 91398 9936950 7785826 10852 2613 91626.00 92629.63 3158.57 4100.80
1655935621 568244221 463781814 567957 91398 9936987 7785877 10852 2613 91626.24 92628.91 3158.87 4101.92
1655935631 568244221 463781814 567957 91398 9937041 7785910 10852 2613 91626.12 92631.38 3158.05 4099.93
1655935641 568244221 463781814 567957 91398 9937093 7785946 10852 2613 91625.44 92631.49 3159.55 4099.48
1655935651 568244221 463781814 567957 91398 9937130 7785997 10852 2613 91625.88 92629.69 3158.23 4101.13
1655935661 568244221 463781814 567957 91398 9937182 7786033 10852 2613 91627.33 92631.05 3157.67 4100.39
1655935672 568244221 463781814 567957 91398 9937217 7786084 10852 2613 91626.68 92630.33 3158.39 4100.60
1655935682 568244221 463781814 567957 91398 9937255 7786134 10852 2613 91626.43 92629.92 3158.57 4101.07
1655935692 568244221 463781814 567957 91398 9937292 7786185 10852 2613 91627.57 92630.65 3158.53 4100.17
1655935702 568244221 463781814 567957 91398 9937345 7786220 10852 2613 91626.58 92631.17 3158.05 4099.16
1655935715 568244221 463781814 567957 91398 9937398 7786255 10852 2613 91625.84 92631.57 3159.16 4099.86
1655935725 568244221 463781814 567957 91398 9937434 7786307 10852 2613 91626.31 92630.29 3158.75 4100.69
1655935735 568244221 463781814 567957 91398 9937471 7786358 10852 2613 91624.61 92630.27 3159.00 4100.56
1655935745 568244221 463781814 567957 91398 9937524 7786392 10852 2613 91625.39 92629.71 3159.60 4101.24
1655935756 568244221 463781814 567957 91398 9937561 7786441 10852 2613 91625.35 92630.68 3159.26 4100.63
1655935766 568244221 463781814 567957 91398 9937615 7786476 10852 2613 91626.11 92630.68 3158.90 4100.80
1655935776 568244221 463781814 567957 91398 9937653 7786526 10852 2613 91624.95 92629.72 3159.20 4101.20
1655935786 568244221 463781814 567957 91398 9937705 7786561 10852 2613 91625.96 92630.94 3159.04 4099.98
1655935796 568244221 463781814 567957 91398 9937744 7786609 10852 2613 91626.25 92630.91 3158.36 4100.52
1655935806 568244221 463781814 567957 91398 9937805 7786644 10852 2613 91625.11 92630.40 3160.07 4100.51
1655935816 568244221 463781814 567957 91398 9937856 7786681 10852 2613 91625.71 92630.62 3159.38 4099.83
1655935827 568244221 463781814 567957 91398 9937895 7786731 10852 2613 91625.71 92630.92 3158.44 4100.41
1655935837 568244221 463781814 567957 91398 9937950 7786765 10852 2613 91624.96 92631.54 3159.66 4099.78
1655935847 568244221 463781814 567957 91398 9938004 7786798 10852 2613 91625.31 92631.14 3158.75 4099.20
1655935857 568244221 463781814 567957 91398 9938055 7786835 10852 2613 91624.70 92631.31 3159.79 4100.18
1655935867 568244221 463781814 567957 91398 9938090 7786886 10852 2613 91624.74 92630.57 3159.75 4099.89
1655935878 568244221 463781814 567957 91398 9938128 7786938 10852 2613 91625.86 92630.89 3159.23 4100.02
1655935888 568244221 463781814 567957 91398 9938166 7786988 10852 2613 91625.73 92630.22 3159.41 4100.11
1655935898 568244221 463781814 567957 91398 9938221 7787022 10852 2613 91625.70 92631.37 3157.91 4099.45
1655935908 568244221 463781814 567957 91398 9938270 7787059 10852 2613 91625.43 92631.20 3159.07 4099.29
