time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1655935346        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935356        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935366        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935376        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935386        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935397        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935407        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935417        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935427        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935438        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935448        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935458        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935468        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935478        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935488        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935499        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935509        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935519        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935529        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935539        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935549        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935559        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935570        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935580        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935590        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935600        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935610        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935620        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935630        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935641        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935651        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935661        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935671        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935681        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935691        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935701        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935713        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
