#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1655935346        0.738735          0.738735          0.026207          0.026207          0.000000          181.969000        0.026207         
1655935356        4.136740          4.136740          0.202572          0.202572          0.000000          179.867000        0.202572         
1655935366        5.368580          5.368580          0.319622          0.319622          0.000000          179.717000        0.319622         
1655935376        5.502400          5.502400          0.453075          0.453075          0.000000          179.541000        0.453075         
1655935386        5.652890          5.652890          0.576542          0.576542          0.000000          179.394000        0.576542         
1655935396        5.652890          5.652890          0.578922          0.578922          0.000000          179.384000        0.578922         
1655935407        5.652890          3.867840          0.578922          0.231777          0.000000          179.694000        0.578922         
1655935417        5.652890          3.935990          0.578922          0.299007          0.000000          179.623000        0.578922         
1655935427        5.652890          4.043830          0.578922          0.389408          0.000000          179.538000        0.578922         
1655935437        5.652890          4.043830          0.578922          0.391792          0.000000          179.540000        0.578922         
1655935448        5.652890          0.109547          0.578922          0.003071          0.000000          179.982000        0.578922         
1655935458        5.652890          0.109547          0.578922          0.003071          0.000000          179.983000        0.578922         
1655935468        5.652890          0.109547          0.578922          0.003071          0.000000          179.982000        0.578922         
1655935478        5.652890          0.109547          0.578922          0.003071          0.000000          179.984000        0.578922         
1655935488        5.652890          0.109547          0.578922          0.003071          0.000000          179.983000        0.578922         
1655935498        5.652890          0.109547          0.578922          0.003071          0.000000          179.983000        0.578922         
1655935509        5.652890          0.109547          0.578922          0.003071          0.000000          179.982000        0.578922         
1655935519        5.652890          0.109547          0.578922          0.003071          0.000000          179.984000        0.578922         
1655935529        5.652890          0.109547          0.578922          0.003071          0.000000          179.984000        0.578922         
1655935539        5.652890          0.109547          0.578922          0.003071          0.000000          179.984000        0.578922         
1655935549        5.652890          0.109547          0.578922          0.003071          0.000000          179.984000        0.578922         
1655935559        5.652890          0.109547          0.578922          0.003071          0.000000          179.984000        0.578922         
1655935569        5.652890          0.109547          0.578922          0.003071          0.000000          179.985000        0.578922         
1655935580        5.652890          0.109547          0.578922          0.003071          0.000000          179.984000        0.578922         
1655935590        5.652890          0.109547          0.578922          0.003071          0.000000          179.985000        0.578922         
1655935600        5.652890          0.109547          0.578922          0.003071          0.000000          179.985000        0.578922         
1655935610        5.652890          0.109547          0.578922          0.003071          0.000000          179.986000        0.578922         
1655935620        5.652890          0.109547          0.578922          0.003071          0.000000          179.985000        0.578922         
1655935630        5.652890          0.109547          0.578922          0.003071          0.000000          179.985000        0.578922         
1655935640        5.652890          0.109547          0.578922          0.003071          0.000000          179.987000        0.578922         
1655935651        5.652890          0.109547          0.578922          0.003075          0.000000          179.986000        0.578922         
1655935661        5.652890          0.109547          0.578922          0.003075          0.000000          179.987000        0.578922         
1655935671        5.652890          0.109547          0.578922          0.003075          0.000000          179.986000        0.578922         
1655935681        5.652890          0.109547          0.578922          0.003075          0.000000          179.984000        0.578922         
1655935691        5.652890          0.109547          0.578922          0.003075          0.000000          179.986000        0.578922         
1655935701        5.652890          0.109547          0.578922          0.003075          0.000000          179.986000        0.578922         
1655935711        5.652890          0.109547          0.578922          0.003075          0.000000          179.987000        0.578922         
1655935723        5.652890          0.109547          0.578922          0.003075          0.000000          179.987000        0.578922         
1655935733        5.652890          0.109547          0.578922          0.003075          0.000000          179.985000        0.578922         
1655935743        5.652890          0.109547          0.578922          0.003075          0.000000          179.984000        0.578922         
1655935753        5.652890          0.109547          0.578922          0.003075          0.000000          179.986000        0.578922         
1655935763        5.652890          0.109547          0.578922          0.003075          0.000000          179.988000        0.578922         
1655935773        5.652890          0.109547          0.578922          0.003075          0.000000          179.988000        0.578922         
1655935784        5.652890          0.109547          0.578922          0.003075          0.000000          179.987000        0.578922         
1655935794        5.652890          0.109547          0.578922          0.003075          0.000000          179.987000        0.578922         
1655935805        5.652890          0.109547          0.578922          0.003075          0.000000          179.987000        0.578922         
1655935815        5.652890          0.109547          0.578922          0.003075          0.000000          179.987000        0.578922         
1655935825        5.652890          0.109547          0.578922          0.003075          0.000000          179.986000        0.578922         
1655935835        5.652890          0.109547          0.578922          0.003075          0.000000          179.987000        0.578922         
1655935845        5.652890          0.109547          0.578922          0.003075          0.000000          179.987000        0.578922         
1655935855        5.652890          0.109547          0.578922          0.003075          0.000000          179.988000        0.578922         
1655935865        5.652890          0.109547          0.578922          0.003075          0.000000          179.988000        0.578922         
1655935875        5.652890          0.109547          0.578922          0.003075          0.000000          179.987000        0.578922         
1655935886        5.652890          0.109547          0.578922          0.003075          0.000000          179.988000        0.578922         
1655935896        5.652890          0.109547          0.578922          0.003075          0.000000          179.987000        0.578922         
1655935906        5.652890          0.109547          0.578922          0.003078          0.000000          179.989000        0.578922         
1655935916        5.652890          0.109547          0.578922          0.003078          0.000000          179.988000        0.578922         
1655935926        5.652890          0.109547          0.578922          0.003078          0.000000          179.987000        0.578922         
1655935936        5.652890          0.109547          0.578922          0.003078          0.000000          179.986000        0.578922         
1655935946        5.652890          0.109547          0.578922          0.003078          0.000000          179.987000        0.578922         
1655935957        5.652890          0.109547          0.578922          0.003078          0.000000          179.988000        0.578922         
1655935967        5.652890          0.109547          0.578922          0.003078          0.000000          179.988000        0.578922         
1655935977        5.652890          0.109547          0.578922          0.003078          0.000000          179.988000        0.578922         
1655935987        5.652890          0.109547          0.578922          0.003078          0.000000          179.987000        0.578922         
1655935997        5.652890          0.109547          0.578922          0.003078          0.000000          179.987000        0.578922         
1655936007        5.652890          0.109547          0.578922          0.003078          0.000000          179.991000        0.578922         
1655936017        5.652890          0.109547          0.578922          0.003078          0.000000          179.989000        0.578922         
1655936028        5.652890          0.109547          0.578922          0.003078          0.000000          179.989000        0.578922         
1655936038        5.652890          0.109547          0.578922          0.003078          0.000000          179.988000        0.578922         
1655936048        5.652890          0.109547          0.578922          0.003078          0.000000          179.989000        0.578922         
1655936058        5.652890          0.109547          0.578922          0.003078          0.000000          179.989000        0.578922         
1655936068        5.652890          0.109547          0.578922          0.003078          0.000000          179.989000        0.578922         
1655936078        5.652890          0.109547          0.578922          0.003078          0.000000          179.989000        0.578922         
1655936088        5.652890          0.109547          0.578922          0.003078          0.000000          179.989000        0.578922         
1655936099        5.652890          0.109547          0.578922          0.003078          0.000000          179.988000        0.578922         
1655936109        5.652890          0.109547          0.578922          0.003078          0.000000          179.989000        0.578922         
1655936119        5.652890          0.109547          0.578922          0.003078          0.000000          179.988000        0.578922         
1655936129        5.652890          0.109547          0.578922          0.003078          0.000000          179.989000        0.578922         
1655936139        5.652890          0.109547          0.578922          0.003078          0.000000          179.990000        0.578922         
1655936149        5.652890          0.109547          0.578922          0.003078          0.000000          179.990000        0.578922         
1655936159        5.652890          0.109547          0.578922          0.003078          0.000000          179.990000        0.578922         
1655936170        5.652890          0.109547          0.578922          0.003082          0.000000          179.989000        0.578922         
1655936180        5.652890          0.109547          0.578922          0.003082          0.000000          179.989000        0.578922         
1655936190        5.652890          0.109547          0.578922          0.003082          0.000000          179.989000        0.578922         
1655936200        5.652890          0.109547          0.578922          0.003082          0.000000          179.989000        0.578922         
1655936210        5.652890          0.109547          0.578922          0.003082          0.000000          179.989000        0.578922         
1655936220        5.652890          0.109547          0.578922          0.003082          0.000000          179.988000        0.578922         
1655936231        5.652890          0.109547          0.578922          0.003082          0.000000          179.988000        0.578922         
1655936241        5.652890          0.109547          0.578922          0.003082          0.000000          179.989000        0.578922         
1655936251        5.652890          0.109547          0.578922          0.003082          0.000000          179.988000        0.578922         
1655936261        5.652890          0.109547          0.578922          0.003082          0.000000          180.006000        0.578922         
1655936271        5.652890          0.109547          0.578922          0.003082          0.000000          180.007000        0.578922         
1655936281        5.652890          0.109547          0.578922          0.003082          0.000000          180.009000        0.578922         
1655936291        5.652890          0.109547          0.578922          0.003082          0.000000          181.760000        0.578922         
1655936301        5.652890          0.109547          0.578922          0.003082          0.000000          181.767000        0.578922         
1655936315        5.652890          0.109547          0.578922          0.003082          0.000000          181.766000        0.578922         
1655936325        5.652890          0.109547          0.578922          0.003082          0.000000          181.767000        0.578922         
1655936335        5.652890          0.109547          0.578922          0.003082          0.000000          181.768000        0.578922         
1655936345        5.652890          0.109547          0.578922          0.003082          0.000000          181.767000        0.578922         
1655936356        5.652890          0.109547          0.578922          0.003082          0.000000          181.768000        0.578922         
1655936366        5.652890          0.109547          0.578922          0.003082          0.000000          181.768000        0.578922         
1655936376        5.652890          0.109547          0.578922          0.003082          0.000000          181.767000        0.578922         
1655936386        5.652890          0.109547          0.578922          0.003082          0.000000          181.765000        0.578922         
1655936396        5.652890          0.109547          0.578922          0.003082          0.000000          181.767000        0.578922         
1655936406        5.652890          0.109547          0.578922          0.003082          0.000000          181.765000        0.578922         
1655936416        5.652890          0.109547          0.578922          0.003086          0.000000          181.767000        0.578922         
1655936427        5.652890          0.109547          0.578922          0.003086          0.000000          181.765000        0.578922         
1655936437        5.652890          0.109547          0.578922          0.003086          0.000000          181.767000        0.578922         
1655936447        5.652890          0.109547          0.578922          0.003086          0.000000          181.767000        0.578922         
1655936457        5.652890          0.109547          0.578922          0.003086          0.000000          181.766000        0.578922         
1655936467        5.652890          0.109547          0.578922          0.003086          0.000000          181.766000        0.578922         
1655936477        5.652890          0.109547          0.578922          0.003086          0.000000          181.766000        0.578922         
1655936487        5.652890          0.109547          0.578922          0.003086          0.000000          181.766000        0.578922         
1655936498        5.652890          0.109547          0.578922          0.003086          0.000000          181.768000        0.578922         
1655936508        5.652890          0.109547          0.578922          0.003086          0.000000          181.767000        0.578922         
1655936518        5.652890          0.109547          0.578922          0.003086          0.000000          181.765000        0.578922         
1655936528        5.652890          0.109547          0.578922          0.003086          0.000000          181.767000        0.578922         
1655936538        5.652890          0.109547          0.578922          0.003086          0.000000          181.766000        0.578922         
1655936548        5.652890          0.109547          0.578922          0.003086          0.000000          181.766000        0.578922         
1655936558        5.652890          0.109547          0.578922          0.003086          0.000000          181.767000        0.578922         
1655936568        5.652890          0.109547          0.578922          0.003086          0.000000          181.766000        0.578922         
1655936579        5.652890          0.109547          0.578922          0.003086          0.000000          181.765000        0.578922         
1655936589        5.652890          0.109547          0.578922          0.003086          0.000000          181.765000        0.578922         
1655936599        5.652890          0.109547          0.578922          0.003086          0.000000          181.766000        0.578922         
1655936609        5.652890          0.109547          0.578922          0.003086          0.000000          181.767000        0.578922         
1655936619        5.652890          0.109547          0.578922          0.003086          0.000000          181.768000        0.578922         
1655936629        5.652890          0.109547          0.578922          0.003086          0.000000          181.766000        0.578922         
1655936639        5.652890          0.109547          0.578922          0.003086          0.000000          181.768000        0.578922         
1655936650        5.652890          0.109547          0.578922          0.003086          0.000000          181.767000        0.578922         
1655936660        5.652890          0.109547          0.578922          0.003086          0.000000          181.767000        0.578922         
1655936670        5.652890          0.109547          0.578922          0.003086          0.000000          181.767000        0.578922         
1655936680        5.652890          0.109547          0.578922          0.003086          0.000000          181.767000        0.578922         
1655936690        5.652890          0.109547          0.578922          0.003086          0.000000          181.768000        0.578922         
1655936700        5.652890          0.109547          0.578922          0.003086          0.000000          181.766000        0.578922         
1655936710        5.652890          0.109547          0.578922          0.003090          0.000000          181.766000        0.578922         
1655936721        5.652890          0.109547          0.578922          0.003090          0.000000          181.768000        0.578922         
1655936731        5.652890          0.109547          0.578922          0.003090          0.000000          181.767000        0.578922         
1655936741        5.652890          0.109547          0.578922          0.003090          0.000000          181.768000        0.578922         
1655936751        5.652890          0.109547          0.578922          0.003090          0.000000          181.769000        0.578922         
1655936761        5.652890          0.109547          0.578922          0.003090          0.000000          181.768000        0.578922         
1655936771        5.652890          0.109547          0.578922          0.003090          0.000000          181.767000        0.578922         
