#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1655935342        0.109547          0.109547          0.003010          0.003010          0.000000          182.040000        0.003010         
1655935352        1.685620          1.685620          0.047726          0.047726          0.000000          181.983000        0.047726         
1655935362        5.408050          5.408050          0.296261          0.296261          0.000000          179.863000        0.296261         
1655935372        5.448550          5.448550          0.337555          0.337555          0.000000          179.778000        0.337555         
1655935382        5.714920          5.714920          0.576248          0.576248          0.000000          179.493000        0.576248         
1655935392        5.714920          5.714920          0.576260          0.576260          0.000000          179.492000        0.576260         
1655935402        5.714920          2.262620          0.576260          0.104141          0.000000          179.928000        0.576260         
1655935413        5.714920          2.282880          0.576260          0.124527          0.000000          179.905000        0.576260         
1655935423        5.714920          2.387490          0.576260          0.228909          0.000000          179.800000        0.576260         
1655935433        5.714920          2.372650          0.576260          0.205128          0.000000          179.801000        0.576260         
1655935443        5.714920          2.517370          0.576260          0.279537          0.000000          179.743000        0.576260         
1655935457        5.714920          2.540640          0.576260          0.302860          0.000000          179.718000        0.576260         
1655935468        5.714920          2.889550          0.576260          0.467770          0.000000          179.564000        0.576260         
1655935478        5.714920          2.888740          0.576260          0.466827          0.000000          179.565000        0.576260         
1655935488        5.714920          2.956520          0.576260          0.525593          0.000000          179.501000        0.576260         
1655935498        5.714920          2.991030          0.576260          0.546577          0.000000          179.258000        0.576260         
1655935508        5.714920          2.984360          0.576260          0.536316          0.000000          179.268000        0.576260         
1655935519        5.714920          3.159690          0.616287          0.616287          0.000000          178.866000        0.616287         
1655935529        5.714920          3.235820          0.701435          0.701435          0.000000          178.328000        0.701435         
1655935539        5.714920          2.514130          0.701435          0.290394          0.000000          178.699000        0.701435         
1655935549        5.714920          2.642680          0.701435          0.363487          0.000000          178.637000        0.701435         
1655935559        5.714920          2.711570          0.701435          0.432331          0.000000          178.570000        0.701435         
1655935569        5.714920          2.926090          0.701435          0.530819          0.000000          178.484000        0.701435         
1655935580        5.714920          2.983500          0.701435          0.588188          0.000000          178.429000        0.701435         
1655935590        5.714920          3.015420          0.701435          0.597313          0.000000          178.427000        0.701435         
1655935600        5.714920          3.128850          0.701435          0.687229          0.000000          178.344000        0.701435         
1655935610        5.714920          2.553360          0.701435          0.332787          0.000000          178.661000        0.701435         
1655935620        5.714920          2.617820          0.701435          0.333080          0.000000          178.656000        0.701435         
1655935630        5.714920          2.617820          0.701435          0.333229          0.000000          178.655000        0.701435         
1655935640        5.714920          4.529850          1.339230          1.339230          0.000000          177.779000        1.339230         
1655935651        5.714920          5.594280          2.403220          2.403220          0.000000          176.695000        2.403220         
1655935661        5.821070          5.821070          2.633550          2.633550          0.000000          176.460000        2.633550         
1655935671        5.821070          5.821070          2.633550          2.633550          0.000000          176.459000        2.633550         
1655935681        5.821560          5.821560          2.633910          2.633910          0.000000          176.456000        2.633910         
1655935691        5.822780          5.822780          2.636170          2.636170          0.000000          176.448000        2.636170         
1655935702        5.823510          5.823510          2.636890          2.636890          0.000000          176.447000        2.636890         
1655935712        5.826080          5.826080          2.639270          2.639270          0.000000          176.437000        2.639270         
1655935722        5.826080          5.826080          2.639270          2.639270          0.000000          176.439000        2.639270         
1655935736        5.826570          5.826570          2.639780          2.639780          0.000000          176.436000        2.639780         
1655935746        5.826570          5.826570          2.639780          2.639780          0.000000          176.435000        2.639780         
1655935756        5.826570          5.826570          2.639780          2.639780          0.000000          176.433000        2.639780         
1655935766        5.826570          5.826570          2.639780          2.639780          0.000000          176.431000        2.639780         
1655935776        5.968530          5.968530          2.657510          2.657510          0.000000          176.338000        2.657510         
1655935787        5.968530          5.968530          2.657510          2.657510          0.000000          176.338000        2.657510         
1655935797        5.968530          5.968530          2.657510          2.657510          0.000000          176.334000        2.657510         
1655935807        6.015770          6.015770          2.704720          2.704720          0.000000          176.218000        2.704720         
1655935817        6.015770          5.974110          2.704720          2.662690          0.000000          176.246000        2.704720         
1655935827        6.015770          5.974110          2.704720          2.662690          0.000000          176.245000        2.704720         
1655935837        6.015770          5.974110          2.704720          2.662700          0.000000          176.246000        2.704720         
1655935848        6.015770          5.975090          2.704720          2.664150          0.000000          176.236000        2.704720         
1655935858        6.015770          5.974850          2.704720          2.663910          0.000000          176.137000        2.704720         
1655935868        6.015770          5.974850          2.704720          2.663910          0.000000          176.130000        2.704720         
1655935878        6.015770          5.974850          2.704720          2.663910          0.000000          176.094000        2.704720         
1655935888        6.015770          5.991780          2.704720          2.669820          0.000000          176.049000        2.704720         
1655935898        6.015770          5.991780          2.704720          2.669820          0.000000          176.049000        2.704720         
1655935909        6.015770          5.991780          2.704720          2.669960          0.000000          176.047000        2.704720         
1655935919        6.032120          6.032120          2.710180          2.710180          0.000000          175.954000        2.710180         
1655935929        6.032120          5.992520          2.710180          2.670680          0.000000          175.969000        2.710180         
1655935939        6.032120          5.992520          2.710180          2.670680          0.000000          175.968000        2.710180         
1655935949        6.032120          5.992520          2.710180          2.670680          0.000000          175.966000        2.710180         
1655935959        6.032120          5.993000          2.710180          2.671190          0.000000          175.883000        2.710180         
1655935970        6.032120          5.993000          2.710180          2.671190          0.000000          175.885000        2.710180         
1655935980        6.032120          5.993000          2.710180          2.671200          0.000000          175.881000        2.710180         
1655935990        6.032120          5.993000          2.710180          2.671200          0.000000          175.878000        2.710180         
1655936000        6.032120          5.993980          2.710180          2.672170          0.000000          175.771000        2.710180         
1655936010        6.032120          5.993980          2.710180          2.672170          0.000000          175.770000        2.710180         
1655936020        6.032120          5.976710          2.710180          2.661720          0.000000          175.737000        2.710180         
1655936031        6.032120          5.994100          2.710180          2.668350          0.000000          175.703000        2.710180         
