time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1655935342        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935352        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935362        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935372        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935382        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935393        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935403        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935413        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935423        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935433        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935444        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935455        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935465        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935475        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935485        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935495        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935505        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935515        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935526        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935536        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935546        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935556        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935566        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935576        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935586        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935596        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935607        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935617        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935627        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935637        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935647        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935657        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935667        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935678        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935688        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935698        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935721        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935731        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935741        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935752        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935762        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935772        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935782        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935793        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935803        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935813        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935823        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935833        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935844        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935854        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935864        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935874        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935884        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935894        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935904        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1655935914        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
