#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1655935344 589818439 571248610 43069459 2783319 32289121 27784755 12626 168635 91876.89 93848.98 2908.15 2882.48
1655935354 589818480 571248612 43069459 2783319 32290475 27786702 12626 168635 91666.50 91999.79 3118.49 4730.70
1655935365 589818665 571248616 43069459 2783319 32294083 27786940 12626 168635 91577.59 91903.75 3206.91 4826.69
1655935375 589819043 571248616 43069459 2783319 32297425 27787136 12626 168635 91487.18 91902.10 3297.81 4829.26
1655935385 589819972 571248620 43069459 2783319 32297676 27787585 12626 168635 91522.65 91659.32 3261.84 5072.09
1655935395 589820346 571248620 43069459 2783319 32298116 27787687 12626 168635 91507.17 91667.06 3277.33 5062.80
1655935405 589820746 571248622 43069459 2783319 32298712 27787936 12626 168635 91576.30 91997.11 3207.71 4734.28
1655935416 589820875 571248622 43069459 2783319 32298794 27788060 12626 168635 91564.54 91995.35 3219.95 4736.01
1655935426 589821012 571248622 43069459 2783319 32298979 27788184 12626 168635 91497.50 91996.36 3287.00 4734.96
1655935436 589821112 571248622 43069459 2783319 32299025 27788305 12626 168635 91498.27 91995.07 3286.23 4735.79
1655935446 589821112 571248622 43069459 2783319 32299099 27788405 12626 168635 91754.24 92018.45 3030.39 4711.90
1655935457 589821112 571248622 43069459 2783319 32299154 27788446 12626 168635 91754.63 92018.65 3029.86 4712.28
1655935467 589821112 571248622 43069459 2783319 32299194 27788502 12626 168635 91755.80 92018.74 3029.80 4712.08
1655935477 589821112 571248622 43069459 2783319 32299252 27788542 12626 168635 91754.82 92019.64 3030.31 4711.68
1655935487 589821112 571248622 43069459 2783319 32299308 27788582 12626 168635 91753.51 92020.26 3031.54 4710.73
1655935497 589821112 571248622 43069459 2783319 32299346 27788639 12626 168635 91754.29 92020.62 3030.71 4711.34
1655935508 589821112 571248622 43069459 2783319 32299388 27788695 12626 168635 91753.27 92020.39 3030.84 4710.97
1655935518 589821112 571248622 43069459 2783319 32299444 27788737 12626 168635 91753.39 92020.06 3030.25 4710.77
1655935528 589821112 571248622 43069459 2783319 32299500 27788778 12626 168635 91753.73 92020.79 3031.42 4709.05
1655935538 589821112 571248622 43069459 2783319 32299556 27788819 12626 168635 91753.98 92020.66 3030.66 4710.27
1655935548 589821112 571248622 43069459 2783319 32299614 27788859 12626 168635 91753.14 92019.76 3030.99 4710.08
1655935558 589821112 571248622 43069459 2783319 32299668 27788900 12626 168635 91754.84 92021.02 3029.77 4709.84
1655935569 589821112 571248622 43069459 2783319 32299725 27788942 12626 168635 91753.79 92020.57 3030.34 4710.26
1655935579 589821112 571248622 43069459 2783319 32299782 27788982 12626 168635 91754.23 92021.86 3030.41 4708.97
1655935589 589821112 571248622 43069459 2783319 32299838 27789022 12626 168635 91754.47 92022.07 3030.02 4708.88
1655935599 589821112 571248622 43069459 2783319 32299883 27789075 12626 168635 91754.16 92020.84 3029.88 4709.50
1655935609 589821112 571248622 43069459 2783319 32299945 27789112 12626 168635 91768.19 93785.96 3016.86 2945.03
1655935619 589821112 571248622 43069459 2783319 32299986 27789167 12626 168635 91767.23 93785.55 3016.90 2945.87
1655935629 589821112 571248622 43069459 2783319 32300043 27789207 12626 168635 91769.15 93784.05 3015.52 2946.85
1655935640 589821112 571248622 43069459 2783319 32300101 27789248 12626 168635 91771.32 93784.70 3013.68 2946.75
1655935650 589821112 571248622 43069459 2783319 32300141 27789305 12626 168635 91771.62 93785.74 3012.87 2945.69
1655935660 589821112 571248622 43069459 2783319 32300183 27789359 12626 168635 91771.68 93784.30 3012.99 2947.04
1655935670 589821112 571248622 43069459 2783319 32300237 27789401 12626 168635 91771.42 93785.33 3013.71 2945.53
1655935680 589821112 571248622 43069459 2783319 32300294 27789442 12626 168635 91770.74 93785.14 3014.40 2945.25
1655935690 589821112 571248622 43069459 2783319 32300351 27789483 12626 168635 91770.11 93784.99 3015.54 2945.90
1655935701 589821112 571248622 43069459 2783319 32300405 27789523 12626 168635 91770.20 93786.43 3014.93 2943.90
1655935711 589821112 571248622 43069459 2783319 32300463 27789563 12626 168635 91772.12 93785.61 3012.47 2945.58
1655935721 589821112 571248622 43069459 2783319 32300517 27789608 12626 168635 91770.38 93785.85 3014.26 2944.48
1655935731 589821112 571248622 43069459 2783319 32300574 27789648 12626 168635 91770.70 93786.57 3013.90 2944.75
1655935741 589821112 571248622 43069459 2783319 32300630 27789689 12626 168635 91771.88 93786.78 3013.12 2944.66
1655935751 589821112 571248622 43069459 2783319 32300677 27789740 12626 168635 91769.26 93787.28 3015.36 2944.14
1655935761 589821112 571248622 43069459 2783319 32300732 27789782 12626 168635 91771.29 93785.19 3013.87 2945.65
1655935772 589821112 571248622 43069459 2783319 32300789 27789824 12626 168635 91772.94 93785.04 3012.07 2945.44
1655935785 589821112 571248622 43069459 2783319 32300829 27789881 12626 168635 91773.17 93786.97 3011.82 2943.95
1655935796 589821112 571248622 43069459 2783319 32300871 27789937 12626 168635 91773.49 93786.33 3012.15 2944.00
1655935806 589821112 571248622 43069459 2783319 32300934 27789981 12626 168635 91772.31 93786.02 3012.83 2944.81
1655935816 589821112 571248622 43069459 2783319 32300990 27790024 12626 168635 91770.89 93785.32 3013.73 2945.02
1655935826 589821112 571248622 43069459 2783319 32301045 27790066 12626 168635 91771.47 93786.15 3013.61 2945.19
1655935836 589821112 571248622 43069459 2783319 32301101 27790109 12626 168635 91770.24 93786.68 3013.91 2944.20
1655935846 589821112 571248622 43069459 2783319 32301156 27790150 12626 168635 91770.97 93785.71 3013.18 2945.11
1655935856 589821112 571248622 43069459 2783319 32301212 27790194 12626 168635 91769.91 93786.01 3014.22 2945.30
1655935867 589821112 571248622 43069459 2783319 32301270 27790233 12626 168635 91768.46 93787.30 3016.15 2943.03
1655935877 589821112 571248622 43069459 2783319 32301327 27790273 12626 168635 91768.40 93787.82 3016.65 2943.11
1655935887 589821112 571248622 43069459 2783319 32301370 27790326 12626 168635 91769.05 93788.45 3015.60 2942.40
1655935897 589821112 571248622 43069459 2783319 32301428 27790367 12626 168635 91769.41 93788.50 3015.72 2942.88
1655935907 589821112 571248622 43069459 2783319 32301485 27790407 12626 168635 91768.69 93788.29 3015.93 2942.64
1655935918 589821112 571248622 43069459 2783319 32301540 27790449 12626 168635 91771.09 93786.62 3013.51 2944.27
1655935928 589821112 571248622 43069459 2783319 32301597 27790492 12626 168635 91770.91 93786.58 3014.08 2944.36
1655935938 589821112 571248622 43069459 2783319 32301639 27790548 12626 168635 91770.02 93785.96 3014.59 2945.36
1655935948 589821112 571248622 43069459 2783319 32301697 27790593 12626 168635 91769.00 93786.26 3015.65 2945.12
1655935958 589821112 571248622 43069459 2783319 32301753 27790634 12626 168635 91770.33 93787.49 3015.30 2943.82
1655935968 589821112 571248622 43069459 2783319 32301808 27790677 12626 168635 91770.86 93787.20 3013.14 2944.21
1655935979 589821112 571248622 43069459 2783319 32301851 27790732 12626 168635 91770.52 93785.27 3013.48 2945.73
1655935989 589821112 571248622 43069459 2783319 32301892 27790789 12626 168635 91770.91 93785.11 3013.84 2945.38
1655935999 589821112 571248622 43069459 2783319 32301946 27790833 12626 168635 91771.90 93785.02 3012.72 2946.36
1655936009 589821112 571248622 43069459 2783319 32302002 27790874 12626 168635 91772.37 93785.27 3012.13 2945.18
1655936019 589821112 571248622 43069459 2783319 32302044 27790929 12626 168635 91772.40 93786.83 3012.75 2943.50
1655936029 589821112 571248622 43069459 2783319 32302101 27790972 12626 168635 91771.72 93786.39 3012.28 2944.55
1655936039 589821112 571248622 43069459 2783319 32302145 27791026 12626 168635 91771.48 93785.48 3013.02 2945.94
1655936050 589821112 571248622 43069459 2783319 32302187 27791082 12626 168635 91772.75 93784.79 3011.75 2945.67
1655936060 589821112 571248622 43069459 2783319 32302230 27791136 12626 168635 91773.77 93784.45 3010.73 2946.50
1655936078 589821112 571248622 43069459 2783319 32302275 27791190 12626 168635 91773.16 93785.93 3011.34 2945.50
1655936088 589821112 571248622 43069459 2783319 32302318 27791244 12626 168635 91773.20 93785.42 3011.46 2945.40
1655936098 589821112 571248622 43069459 2783319 32302372 27791287 12626 168635 91772.53 93787.00 3012.13 2944.34
1655936108 589821112 571248622 43069459 2783319 32302428 27791332 12626 168635 91772.32 93786.47 3012.70 2944.46
1655936118 589821112 571248622 43069459 2783319 32302470 27791394 12626 168635 91771.20 93785.09 3013.30 2945.85
1655936129 589821112 571248622 43069459 2783319 32302513 27791450 12626 168635 91771.50 93785.04 3012.62 2945.84
1655936139 589821112 571248622 43069459 2783319 32302569 27791491 12626 168635 91771.53 93786.36 3012.48 2945.04
1655936149 589821112 571248622 43069459 2783319 32302615 27791545 12626 168635 91771.89 93786.25 3013.24 2945.08
1655936159 589821112 571248622 43069459 2783319 32302670 27791588 12626 168635 91772.03 93786.33 3012.56 2944.54
1655936169 589821112 571248622 43069459 2783319 32302725 27791630 12626 168635 91770.53 93786.21 3013.11 2944.61
1655936179 589821112 571248622 43069459 2783319 32302781 27791673 12626 168635 91771.26 93786.94 3014.37 2943.89
1655936190 589821112 571248622 43069459 2783319 32302837 27791715 12626 168635 91770.31 93785.92 3014.30 2944.95
1655936200 589821112 571248622 43069459 2783319 32302894 27791758 12626 168635 91770.80 93787.02 3012.84 2944.40
1655936210 589821112 571248622 43069459 2783319 32302952 27791797 12626 168635 91770.90 93786.63 3013.12 2944.32
1655936220 589821112 571248622 43069459 2783319 32302995 27791852 12626 168635 91772.92 93787.34 3011.68 2943.48
1655936230 589821112 571248622 43069459 2783319 32303053 27791894 12626 168635 91771.54 93786.44 3013.48 2944.50
1655936240 589821112 571248622 43069459 2783319 32303138 27791979 12626 168635 91770.43 93785.84 3013.25 2945.50
1655936251 589821112 571248622 43069459 2783319 32303195 27792020 12626 168635 91792.09 93786.88 2992.53 2943.95
1655936261 589821112 571248622 43069459 2783319 32303252 27792063 12626 168635 91793.72 93788.23 2991.28 2943.23
1655936271 589821112 571248622 43069459 2783319 32303293 27792119 12626 168635 91792.97 93786.85 2991.62 2943.97
1655936281 589821112 571248622 43069459 2783319 32303349 27792161 12626 168635 91791.99 93786.93 2992.51 2944.02
1655936291 589821112 571248622 43069459 2783319 32303391 27792217 12626 168635 91792.75 93787.88 2991.84 2943.45
1655936301 589821112 571248622 43069459 2783319 32303446 27792260 12626 168635 91792.32 93787.34 2992.76 2943.99
1655936311 589821112 571248622 43069459 2783319 32303500 27792304 12626 168635 91799.88 93788.86 2985.11 2942.00
1655936322 589821112 571248622 43069459 2783319 32303544 27792359 12626 168635 91799.05 93788.19 2984.95 2943.25
1655936332 589821112 571248622 43069459 2783319 32303585 27792415 12626 168635 91798.77 93787.70 2985.85 2943.13
1655936342 589821112 571248622 43069459 2783319 32303642 27792458 12626 168635 91798.23 93787.24 2986.27 2943.71
1655936352 589821112 571248622 43069459 2783319 32303684 27792512 12626 168635 91800.52 93787.93 2984.47 2943.54
1655936362 589821112 571248622 43069459 2783319 32303725 27792568 12626 168635 91800.60 93788.27 2983.90 2943.21
1655936372 589821112 571248622 43069459 2783319 32303767 27792625 12626 168635 91800.75 93787.68 2984.23 2942.76
1655936382 589821112 571248622 43069459 2783319 32303809 27792680 12626 168635 91800.43 93786.83 2984.18 2944.06
1655936393 589821112 571248622 43069459 2783319 32303865 27792725 12626 168635 91800.68 93788.19 2984.44 2942.71
1655936403 589821112 571248622 43069459 2783319 32303928 27792768 12626 168635 91798.96 93788.47 2985.68 2942.35
1655936413 589821112 571248622 43069459 2783319 32303982 27792811 12626 168635 91800.41 93788.33 2983.59 2943.11
1655936423 589821112 571248622 43069459 2783319 32304024 27792865 12626 168635 91800.64 93787.04 2984.41 2942.92
1655936433 589821112 571248622 43069459 2783319 32304066 27792921 12626 168635 91798.97 93786.50 2984.66 2943.85
1655936443 589821112 571248622 43069459 2783319 32304121 27792962 12626 168635 91799.21 93787.23 2984.91 2944.14
1655936454 589821112 571248622 43069459 2783319 32304176 27793007 12626 168635 91799.04 93787.59 2986.06 2942.80
1655936464 589821112 571248622 43069459 2783319 32304229 27793050 12626 168635 91799.22 93788.19 2984.34 2942.63
1655936474 589821112 571248622 43069459 2783319 32304284 27793093 12626 168635 91799.92 93788.75 2984.14 2942.63
1655936484 589821112 571248622 43069459 2783319 32304339 27793136 12626 168635 91798.81 93788.02 2985.34 2942.81
1655936494 589821112 571248622 43069459 2783319 32304393 27793181 12626 168635 91799.29 93787.96 2985.37 2942.86
1655936505 589821112 571248622 43069459 2783319 32304447 27793224 12626 168635 91799.36 93789.05 2984.77 2941.77
1655936515 589821112 571248622 43069459 2783319 32304502 27793267 12626 168635 91798.69 93788.98 2985.96 2941.93
1655936525 589821112 571248622 43069459 2783319 32304558 27793310 12626 168635 91800.12 93788.71 2984.50 2942.11
1655936535 589821112 571248622 43069459 2783319 32304615 27793353 12626 168635 91800.00 93789.77 2984.61 2941.61
1655936545 589821112 571248622 43069459 2783319 32304669 27793395 12626 168635 91800.61 93789.67 2983.45 2941.69
1655936555 589821112 571248622 43069459 2783319 32304724 27793439 12626 168635 91799.70 93790.14 2985.41 2941.18
1655936565 589821112 571248622 43069459 2783319 32304780 27793481 12626 168635 91800.53 93789.68 2984.51 2941.26
1655936576 589821112 571248622 43069459 2783319 32304822 27793537 12626 168635 91799.38 93788.11 2985.24 2942.22
1655936586 589821112 571248622 43069459 2783319 32304878 27793580 12626 168635 91801.77 93789.86 2983.81 2941.49
1655936596 589821112 571248622 43069459 2783319 32304933 27793623 12626 168635 91800.48 93789.09 2983.62 2942.23
1655936606 589821112 571248622 43069459 2783319 32304986 27793669 12626 168635 91799.89 93789.99 2985.16 2941.45
1655936616 589821112 571248622 43069459 2783319 32305028 27793725 12626 168635 91800.94 93789.54 2984.15 2940.79
1655936626 589821112 571248622 43069459 2783319 32305082 27793770 12626 168635 91801.93 93789.66 2983.08 2942.30
1655936637 589821112 571248622 43069459 2783319 32305124 27793824 12626 168635 91802.26 93788.20 2982.39 2942.14
1655936647 589821112 571248622 43069459 2783319 32305180 27793868 12626 168635 91800.47 93788.76 2983.57 2942.58
1655936657 589821112 571248622 43069459 2783319 32305235 27793910 12626 168635 91801.64 93788.16 2984.00 2942.71
1655936667 589821112 571248622 43069459 2783319 32305290 27793955 12626 168635 91800.64 93788.61 2984.44 2942.33
1655936677 589821112 571248622 43069459 2783319 32305332 27794011 12626 168635 91800.73 93788.07 2983.89 2942.77
1655936687 589821112 571248622 43069459 2783319 32305387 27794055 12626 168635 91800.83 93788.57 2984.20 2942.38
1655936698 589821112 571248622 43069459 2783319 32305432 27794108 12626 168635 91801.35 93787.11 2982.78 2942.73
1655936708 589821112 571248622 43069459 2783319 32305486 27794153 12626 168635 91801.22 93790.39 2983.39 2940.94
1655936718 589821112 571248622 43069459 2783319 32305541 27794198 12626 168635 91799.90 93788.37 2984.25 2942.98
1655936728 589821112 571248622 43069459 2783319 32305595 27794241 12626 168635 91799.65 93788.81 2985.50 2942.07
1655936738 589821112 571248622 43069459 2783319 32305649 27794285 12626 168635 91800.71 93790.36 2984.39 2940.97
1655936748 589821112 571248622 43069459 2783319 32305704 27794331 12626 168635 91800.38 93789.59 2984.24 2941.84
1655936759 589821112 571248622 43069459 2783319 32305758 27794373 12626 168635 91801.97 93789.10 2983.03 2942.38
1655936769 589821112 571248622 43069459 2783319 32305801 27794430 12626 168635 91800.86 93789.07 2983.26 2942.35
1655936779 589821112 571248622 43069459 2783319 32305854 27794475 12626 168635 91800.91 93789.07 2983.21 2942.26
1655936789 589821112 571248622 43069459 2783319 32305909 27794518 12626 168635 91800.13 93788.54 2983.06 2941.84
1655936799 589821112 571248622 43069459 2783319 32305963 27794561 12626 168635 91802.17 93788.44 2982.84 2941.93
1655936809 589821112 571248622 43069459 2783319 32306008 27794615 12626 168635 91801.65 93788.28 2983.35 2942.16
1655936819 589821112 571248622 43069459 2783319 32306053 27794669 12626 168635 91801.90 93788.62 2982.23 2942.71
1655936830 589821112 571248622 43069459 2783319 32306106 27794713 12626 168635 91801.95 93788.06 2983.14 2942.40
1655936840 589821112 571248622 43069459 2783319 32306152 27794767 12626 168635 91802.78 93788.75 2982.23 2942.20
1655936850 589821112 571248622 43069459 2783319 32306196 27794822 12626 168635 91803.35 93787.22 2981.27 2943.22
1655936860 589821112 571248622 43069459 2783319 32306238 27794878 12626 168635 91801.68 93787.84 2982.42 2942.98
1655936870 589821112 571248622 43069459 2783319 32306294 27794922 12626 168635 91801.62 93787.98 2983.07 2942.35
1655936881 589821112 571248622 43069459 2783319 32306351 27794963 12626 168635 91800.59 93788.02 2983.95 2942.44
1655936891 589821112 571248622 43069459 2783319 32306395 27795019 12626 168635 91799.92 93788.40 2984.24 2942.98
1655936901 589821112 571248622 43069459 2783319 32306452 27795062 12626 168635 91801.32 93788.70 2983.71 2942.25
1655936911 589821112 571248622 43069459 2783319 32306495 27795117 12626 168635 91802.95 93788.84 2982.05 2942.59
1655936921 589821112 571248622 43069459 2783319 32306539 27795172 12626 168635 91801.49 93787.53 2982.54 2943.30
1655936931 589821112 571248622 43069459 2783319 32306597 27795216 12626 168635 91801.21 93790.06 2983.36 2940.82
