#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1655935345 363750717 355534974 5202810 6220751 2846599 2575987 25023 20718 91666.64 94825.01 3102.23 1920.96
1655935356 363750802 355534980 5202810 6220751 2848153 2579192 25035 20720 91504.21 92807.93 3265.30 3938.54
1655935366 363750949 355534980 5202810 6220751 2848517 2582267 25035 20720 91435.07 92730.54 3334.49 4015.93
1655935376 363751303 355534982 5202810 6220751 2848745 2585687 25035 20720 91356.70 92630.63 3411.69 4115.95
1655935386 363752059 355534982 5202810 6220751 2848965 2585955 25035 20720 91345.77 92493.02 3423.09 4253.05
1655935396 363752551 355534982 5202810 6220751 2849550 2586043 25035 20720 91305.97 92518.91 3463.96 4227.56
1655935406 363752979 355534986 5202810 6220751 2850006 2586420 25035 20720 91338.73 92637.17 3429.63 4110.00
1655935416 363753218 355534986 5202810 6220751 2850099 2586528 25035 20720 91398.64 92695.61 3370.33 4051.11
1655935427 363753724 355534986 5202810 6220751 2850265 2586731 25035 20720 91348.45 92626.23 3419.50 4119.25
1655935437 363753825 355534986 5202810 6220751 2850327 2586782 25035 20720 91349.64 92626.16 3418.72 4120.44
1655935447 363753926 355534986 5202810 6220751 2850393 2586874 25035 20720 91610.44 92819.67 3159.04 3927.30
1655935457 363753926 355534986 5202810 6220751 2850446 2586908 25035 20720 91610.16 92818.46 3158.70 3928.13
1655935467 363753926 355534986 5202810 6220751 2850483 2586957 25035 20720 91609.77 92817.90 3159.58 3928.69
1655935477 363753926 355534986 5202810 6220751 2850520 2587007 25035 20720 91609.73 92817.56 3159.68 3929.01
1655935487 363753926 355534986 5202810 6220751 2850559 2587056 25035 20720 91610.11 92818.55 3158.88 3928.42
1655935498 363753926 355534986 5202810 6220751 2850610 2587090 25035 20720 91610.96 92818.55 3157.95 3927.52
1655935508 363753926 355534986 5202810 6220751 2850647 2587140 25035 20720 91610.68 92819.57 3158.18 3927.05
1655935518 363753926 355534986 5202810 6220751 2850685 2587190 25035 20720 91609.77 92819.64 3158.72 3927.32
1655935528 363753926 355534986 5202810 6220751 2850737 2587226 25035 20720 91611.12 92819.52 3158.23 3927.10
1655935538 363753926 355534986 5202810 6220751 2850773 2587277 25035 20720 91611.16 92818.54 3158.18 3928.57
1655935548 363753926 355534986 5202810 6220751 2850810 2587326 25035 20720 91610.57 92819.88 3157.89 3926.59
1655935559 363753926 355534986 5202810 6220751 2850864 2587359 25035 20720 91609.92 92819.39 3158.04 3927.13
1655935569 363753926 355534986 5202810 6220751 2850914 2587394 25035 20720 91609.91 92820.72 3159.45 3927.36
1655935579 363753926 355534986 5202810 6220751 2850950 2587445 25035 20720 91610.93 92820.09 3157.58 3926.37
1655935589 363753926 355534986 5202810 6220751 2851002 2587480 25035 20720 91610.89 92820.57 3157.54 3925.40
1655935599 363753926 355534986 5202810 6220751 2851054 2587514 25035 20720 91610.15 92820.52 3159.25 3925.99
